,Iteration,B Type,Constructor,Education Budget,Subdsidy Budget,Subsidy Level,Education Spare Budget,Subsidy Spare Budget,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A3 Subsidy Level,A4 P1,A4 P2,A4 Subsidy Level,A5 P1,A5 P2,A5 Subsidy Level,A6 P1,A6 P2,A6 Subsidy Level,Education Cost,Education affect,EI,U2-After-Education,U3-After-Education,Subsidy Level Cap,Subsidy Left,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Percentage Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Percentage Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Percentage Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Percentage Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
11,1,B1,2,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,14.75%,3848413,4154923,100000,4048011,4373903,100000,4240957,4585583,100000,4433902,4797263,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,103133000.0,103133000.0,49,103133000.0
12,1,B1,3,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,14.5%,3839882,4145564,100000,4039046,4364067,100000,4231571,4575286,100000,4424096,4786505,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,101384990.0,101384990.0,49,101384990.0
13,1,B1,4,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,14.25%,3831351,4136205,100000,4030080,4354231,100000,4222185,4564988,100000,4414289,4775746,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,99636970.0,99636970.0,49,99636970.0
14,1,B1,5,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,14.0%,3822821,4126846,100000,4021115,4344394,100000,4212799,4554691,100000,4404483,4764988,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,97888910.0,97888910.0,49,97888910.0
15,1,B1,6,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,13.75%,3814290,4117487,100000,4012149,4334558,100000,4203413,4544394,100000,4394677,4754229,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,96140950.0,96140950.0,49,96140950.0
16,1,B1,7,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,13.5%,3805759,4108128,100000,4003184,4324722,100000,4194027,4534097,100000,4384871,4743471,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,94392880.0,94392880.0,49,94392880.0
17,1,B1,8,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,13.25%,3797229,4098769,100000,3994218,4314886,100000,4184641,4523799,100000,4375064,4732713,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,92644870.0,92644870.0,49,92644870.0
18,1,B1,9,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,13.0%,3788698,4089410,100000,3985252,4305050,100000,4175255,4513502,100000,4365258,4721954,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,90896850.0,90896850.0,49,90896850.0
19,1,B1,10,0.0,15000000.0,100000,0.0,10100000.0,2803906,699206620,708896399,12.75%,3780167,4080051,100000,3976287,4295214,100000,4165869,4503205,100000,4355452,4711196,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,89148840.0,89148840.0,49,89148840.0
20,1,B1,1,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,15.0%,3856943,4164282,150000,4056977,4383739,150000,4250342,4595880,150000,4443708,4808022,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,104880960.0,118148397.0,49,118148397.0
21,1,B1,2,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,14.75%,3848413,4154923,150000,4048011,4373903,150000,4240957,4585583,150000,4433902,4797263,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,103133000.0,103133000.0,49,103133000.0
22,1,B1,3,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,14.5%,3839882,4145564,150000,4039046,4364067,150000,4231571,4575286,150000,4424096,4786505,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,101384990.0,101384990.0,49,101384990.0
23,1,B1,4,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,14.25%,3831351,4136205,150000,4030080,4354231,150000,4222185,4564988,150000,4414289,4775746,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,99636970.0,99636970.0,49,99636970.0
24,1,B1,5,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,14.0%,3822821,4126846,150000,4021115,4344394,150000,4212799,4554691,150000,4404483,4764988,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,97888910.0,97888910.0,49,97888910.0
25,1,B1,6,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,13.75%,3814290,4117487,150000,4012149,4334558,150000,4203413,4544394,150000,4394677,4754229,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,96140950.0,96140950.0,49,96140950.0
26,1,B1,7,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,13.5%,3805759,4108128,150000,4003184,4324722,150000,4194027,4534097,150000,4384871,4743471,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,94392880.0,94392880.0,49,94392880.0
27,1,B1,8,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,13.25%,3797229,4098769,150000,3994218,4314886,150000,4184641,4523799,150000,4375064,4732713,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,92644870.0,92644870.0,49,92644870.0
28,1,B1,9,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,13.0%,3788698,4089410,150000,3985252,4305050,150000,4175255,4513502,150000,4365258,4721954,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,90896850.0,90896850.0,49,90896850.0
29,1,B1,10,0.0,15000000.0,150000,0.0,7650000.0,2803906,699206620,708896399,12.75%,3780167,4080051,150000,3976287,4295214,150000,4165869,4503205,150000,4355452,4711196,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,89148840.0,89148840.0,49,89148840.0
30,2,B2,1,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,15.0%,2499897,2675466,50000,2699930,2894923,50000,2893296,3107064,50000,3086661,3319206,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,70676940.0,77706008.0,49,77706008.0
31,2,B2,2,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,14.75%,2494316,2669344,50000,2693914,2888323,50000,2886860,3100003,50000,3079805,3311684,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,69498950.0,69498950.0,49,69498950.0
32,2,B2,3,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,14.5%,2488735,2663221,50000,2687899,2881724,50000,2880424,3092943,50000,3072949,3304162,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,68321010.0,68321010.0,49,68321010.0
33,2,B2,4,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,14.25%,2483155,2657099,50000,2681884,2875124,50000,2873988,3085882,50000,3066093,3296640,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,67143050.0,67143050.0,49,67143050.0
34,2,B2,5,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,14.0%,2477574,2650976,50000,2675868,2868525,50000,2867552,3078821,50000,3059237,3289118,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,65965110.0,65965110.0,49,65965110.0
35,2,B2,6,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,13.75%,2471994,2644854,50000,2669853,2861925,50000,2861117,3071761,50000,3052380,3281596,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,64787220.0,64787220.0,49,64787220.0
36,2,B2,7,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,13.5%,2466413,2638731,50000,2663837,2855325,50000,2854681,3064700,50000,3045524,3274074,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,63609260.0,63609260.0,49,63609260.0
37,2,B2,8,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,13.25%,2460832,2632609,50000,2657822,2848726,50000,2848245,3057639,50000,3038668,3266552,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,62431270.0,62431270.0,49,62431270.0
38,2,B2,9,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,13.0%,2455252,2626486,50000,2651806,2842126,50000,2841809,3050578,50000,3031812,3259030,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,61253330.0,61253330.0,49,61253330.0
39,2,B2,10,0.0,15000000.0,50000,0.0,12550000.0,1663770,471179420,480869199,12.75%,2449671,2620364,50000,2645791,2835527,50000,2835373,3043518,50000,3024956,3251509,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,60075390.0,60075390.0,49,60075390.0
40,2,B2,1,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,15.0%,2499897,2675466,100000,2699930,2894923,100000,2893296,3107064,100000,3086661,3319206,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,70676940.0,77706008.0,49,77706008.0
