,Iteration,B Type,Constructor,Education Budget,Subdsidy Budget,Subsidy Level,Education Spare Budget,Subsidy Spare Budget,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A3 Subsidy Level,A4 P1,A4 P2,A4 Subsidy Level,A5 P1,A5 P2,A5 Subsidy Level,A6 P1,A6 P2,A6 Subsidy Level,Education Cost,Education affect,EI,U2-After-Education,U3-After-Education,Subsidy Level Cap,Subsidy Left,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Percentage Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Percentage Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Percentage Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Percentage Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
41,2,B2,2,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,14.75%,2494316,2669344,100000,2693914,2888323,100000,2886860,3100003,100000,3079805,3311684,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,69498950.0,69498950.0,49,69498950.0
42,2,B2,3,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,14.5%,2488735,2663221,100000,2687899,2881724,100000,2880424,3092943,100000,3072949,3304162,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,68321010.0,68321010.0,49,68321010.0
43,2,B2,4,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,14.25%,2483155,2657099,100000,2681884,2875124,100000,2873988,3085882,100000,3066093,3296640,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,67143050.0,67143050.0,49,67143050.0
44,2,B2,5,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,14.0%,2477574,2650976,100000,2675868,2868525,100000,2867552,3078821,100000,3059237,3289118,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,65965110.0,65965110.0,49,65965110.0
45,2,B2,6,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,13.75%,2471994,2644854,100000,2669853,2861925,100000,2861117,3071761,100000,3052380,3281596,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,64787220.0,64787220.0,49,64787220.0
46,2,B2,7,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,13.5%,2466413,2638731,100000,2663837,2855325,100000,2854681,3064700,100000,3045524,3274074,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,63609260.0,63609260.0,49,63609260.0
47,2,B2,8,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,13.25%,2460832,2632609,100000,2657822,2848726,100000,2848245,3057639,100000,3038668,3266552,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,62431270.0,62431270.0,49,62431270.0
48,2,B2,9,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,13.0%,2455252,2626486,100000,2651806,2842126,100000,2841809,3050578,100000,3031812,3259030,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,61253330.0,61253330.0,49,61253330.0
49,2,B2,10,0.0,15000000.0,100000,0.0,10100000.0,1663770,471179420,480869199,12.75%,2449671,2620364,100000,2645791,2835527,100000,2835373,3043518,100000,3024956,3251509,100000,0,0.0,,2.5%,67.5%,100000,10100000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,60075390.0,60075390.0,49,60075390.0
50,2,B2,1,0.0,15000000.0,150000,0.0,7650000.0,1663770,471179420,480869199,15.0%,2499897,2675466,150000,2699930,2894923,150000,2893296,3107064,150000,3086661,3319206,150000,0,0.0,,2.5%,67.5%,150000,7650000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,70676940.0,77706008.0,49,77706008.0
