,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A4 P1,A4 P2,A5 P1,A5 P2,A6 P1,A6 P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,Subsidy Level,Subsidy Left,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
14,2,B2,5,1663770,471179420,480869199,14.0%,2477574,2650976,2675868,2868525,2867552,3078821,3059237,3289118,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,65965110.0,65965110.0,341.0,65965110.0
15,2,B2,6,1663770,471179420,480869199,13.75%,2471994,2644854,2669853,2861925,2861117,3071761,3052380,3281596,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,64787220.0,64787220.0,341.0,64787220.0
16,2,B2,7,1663770,471179420,480869199,13.5%,2466413,2638731,2663837,2855325,2854681,3064700,3045524,3274074,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,63609260.0,63609260.0,341.0,63609260.0
17,2,B2,8,1663770,471179420,480869199,13.25%,2460832,2632609,2657822,2848726,2848245,3057639,3038668,3266552,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,62431270.0,62431270.0,341.0,62431270.0
18,2,B2,9,1663770,471179420,480869199,13.0%,2455252,2626486,2651806,2842126,2841809,3050578,3031812,3259030,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,61253330.0,61253330.0,341.0,61253330.0
19,2,B2,10,1663770,471179420,480869199,12.75%,2449671,2620364,2645791,2835527,2835373,3043518,3024956,3251509,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,60075390.0,60075390.0,341.0,60075390.0
20,3,B3,1,1183094,375044220,384733999,15.0%,1927772,2047788,2127805,2267245,2321171,2479386,2514537,2691528,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,50.0,35.0,80.0,137,80.0,57.0,50.0,85,50.0,35.0,20.0,34,20.0,14.0,56256640.0,74206050.0,200.0,74206050.0
21,3,B3,2,1183094,375044220,384733999,14.75%,1923435,2043030,2123034,2262010,2315979,2473690,2508924,2685370,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,55319000.0,67907870.0,341.0,67907870.0
22,3,B3,3,1183094,375044220,384733999,14.5%,1919100,2038274,2118262,2256775,2310787,2467994,2503312,2679213,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,54381410.0,54381410.0,341.0,54381410.0
23,3,B3,4,1183094,375044220,384733999,14.25%,1914910,2033677,2113490,2251540,2305595,2462298,2497699,2673056,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,53443850.0,53443850.0,341.0,53443850.0
24,3,B3,5,1183094,375044220,384733999,14.0%,1910720,2029080,2108719,2246305,2300403,2456601,2492087,2666898,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,52506160.0,52506160.0,341.0,52506160.0
