,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A4 P1,A4 P2,A5 P1,A5 P2,A6 P1,A6 P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,S,Price Difference,Price Difference- After Subsidy,P2-Subsidized-Relative-Percent,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
15,2,B2,6,1663770,471179420,480869199,13.75%,2471994,2644854,2669853,2861925,2861117,3071761,3052380,3281596,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,229216,229216,6.985%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,64787220.0,64787220.0,536.0,64787220.0
16,2,B2,7,1663770,471179420,480869199,13.5%,2466413,2638731,2663837,2855325,2854681,3064700,3045524,3274074,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,228550,228550,6.981%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,63609260.0,63609260.0,536.0,63609260.0
17,2,B2,8,1663770,471179420,480869199,13.25%,2460832,2632609,2657822,2848726,2848245,3057639,3038668,3266552,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,227884,227884,6.976%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,62431270.0,62431270.0,536.0,62431270.0
18,2,B2,9,1663770,471179420,480869199,13.0%,2455252,2626486,2651806,2842126,2841809,3050578,3031812,3259030,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,227219,227219,6.972%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,61253330.0,61253330.0,536.0,61253330.0
19,2,B2,10,1663770,471179420,480869199,12.75%,2449671,2620364,2645791,2835527,2835373,3043518,3024956,3251509,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,226553,226553,6.968%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,60075390.0,60075390.0,536.0,60075390.0
20,3,B3,1,1183094,375044220,384733999,15.0%,1927772,2047788,2127805,2267245,2321171,2479386,2514537,2691528,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,176991,176991,6.576%,50.0,134,50.0,84.0,80.0,215,80.0,135.0,50.0,134,50.0,84.0,20.0,53,20.0,33.0,56256640.0,74206050.0,200.0,74206050.0
21,3,B3,2,1183094,375044220,384733999,14.75%,1923435,2043030,2123034,2262010,2315979,2473690,2508924,2685370,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,176446,176446,6.571%,50.0,134,100.0,34.0,80.0,215,160.0,55.0,50.0,134,100.0,34.0,20.0,53,40.0,13.0,55319000.0,73177380.0,400.0,73177380.0
22,3,B3,3,1183094,375044220,384733999,14.5%,1919100,2038274,2118262,2256775,2310787,2467994,2503312,2679213,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,175901,175901,6.565%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,54381410.0,66455214.0,536.0,66455214.0
23,3,B3,4,1183094,375044220,384733999,14.25%,1914910,2033677,2113490,2251540,2305595,2462298,2497699,2673056,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,175356,175356,6.56%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,53443850.0,53443850.0,536.0,53443850.0
24,3,B3,5,1183094,375044220,384733999,14.0%,1910720,2029080,2108719,2246305,2300403,2456601,2492087,2666898,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,174811,174811,6.555%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,52506160.0,52506160.0,536.0,52506160.0
25,3,B3,6,1183094,375044220,384733999,13.75%,1906530,2024483,2103947,2241070,2295211,2450905,2486475,2660741,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,174266,174266,6.55%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,51568620.0,51568620.0,536.0,51568620.0
26,3,B3,7,1183094,375044220,384733999,13.5%,1902339,2019886,2099175,2235835,2290019,2445209,2480862,2654583,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,173721,173721,6.544%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,50630960.0,50630960.0,536.0,50630960.0
27,3,B3,8,1183094,375044220,384733999,13.25%,1898149,2015289,2094404,2230600,2284827,2439513,2475250,2648426,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,173176,173176,6.539%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,49693340.0,49693340.0,536.0,49693340.0
28,3,B3,9,1183094,375044220,384733999,13.0%,1893959,2010692,2089632,2225365,2279635,2433817,2469637,2642269,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,172631,172631,6.533%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,48755730.0,48755730.0,536.0,48755730.0
29,3,B3,10,1183094,375044220,384733999,12.75%,1889769,2006095,2084860,2220130,2274443,2428120,2464025,2636111,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,172086,172086,6.528%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,47818170.0,47818170.0,536.0,47818170.0
30,4,B4,1,930283,324482020,334171799,15.0%,1636748,1734953,1830017,1940541,2020263,2149260,2213628,2361401,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,147773,147773,6.258%,50.0,134,50.0,84.0,80.0,215,80.0,135.0,50.0,134,50.0,84.0,20.0,53,20.0,33.0,48672340.0,61764060.0,200.0,61764060.0
31,4,B4,2,930283,324482020,334171799,14.75%,1633190,1731181,1826039,1936176,2015725,2144281,2208670,2355961,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,147291,147291,6.252%,50.0,134,100.0,34.0,80.0,215,160.0,55.0,50.0,134,100.0,34.0,20.0,53,40.0,13.0,47861150.0,60892550.0,400.0,60892550.0
32,4,B4,3,930283,324482020,334171799,14.5%,1629632,1727409,1822060,1931812,2011187,2139303,2203712,2350522,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,146810,146810,6.246%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,47049910.0,55864330.0,536.0,55864330.0
33,4,B4,4,930283,324482020,334171799,14.25%,1626073,1723638,1818082,1927447,2006649,2134324,2198754,2345082,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,146329,146329,6.24%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,46238650.0,46238650.0,536.0,46238650.0
34,4,B4,5,930283,324482020,334171799,14.0%,1622515,1719866,1814104,1923083,2002111,2129346,2193795,2339642,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,145847,145847,6.234%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,45427510.0,45427510.0,536.0,45427510.0
35,4,B4,6,930283,324482020,334171799,13.75%,1618957,1716095,1810125,1918733,1997573,2124367,2188837,2334203,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,145366,145366,6.228%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,44616220.0,44616220.0,536.0,44616220.0
36,4,B4,7,930283,324482020,334171799,13.5%,1615399,1712323,1806147,1914516,1993035,2119389,2183879,2328763,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,144884,144884,6.222%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,43805080.0,43805080.0,536.0,43805080.0
37,4,B4,8,930283,324482020,334171799,13.25%,1611841,1708551,1802169,1910299,1988497,2114410,2178920,2323323,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,144403,144403,6.215%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,42993870.0,42993870.0,536.0,42993870.0
38,4,B4,9,930283,324482020,334171799,13.0%,1608283,1704780,1798190,1906082,1983959,2109432,2173962,2317884,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,143921,143921,6.209%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,42182650.0,42182650.0,536.0,42182650.0
39,4,B4,10,930283,324482020,334171799,12.75%,1604725,1701008,1794212,1901865,1979422,2104453,2169004,2312444,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,143440,143440,6.203%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,41371490.0,41371490.0,536.0,41371490.0
40,5,B5,1,663515,271128420,280818199,15.0%,1329965,1409763,1523234,1614628,1710060,1812664,1896887,2013904,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,117017,117017,5.81%,50.0,134,50.0,84.0,80.0,215,80.0,135.0,50.0,134,50.0,84.0,20.0,53,20.0,33.0,40669290.0,49687310.0,200.0,49687310.0
41,5,B5,2,663515,271128420,280818199,14.75%,1327073,1406698,1519922,1611118,1706343,1808723,1892763,2009380,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,116617,116617,5.804%,50.0,134,100.0,34.0,80.0,215,160.0,55.0,50.0,134,100.0,34.0,20.0,53,40.0,13.0,39991400.0,48968890.0,400.0,48968890.0
42,5,B5,3,663515,271128420,280818199,14.5%,1324182,1403633,1516611,1607608,1702625,1804783,1888640,2004856,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,116216,116216,5.797%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,39313610.0,45390847.0,536.0,45390847.0
43,5,B5,4,663515,271128420,280818199,14.25%,1321291,1400568,1513300,1604097,1698908,1800842,1884516,2000332,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,115816,115816,5.79%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,38635850.0,38635850.0,536.0,38635850.0
44,5,B5,5,663515,271128420,280818199,14.0%,1318400,1397504,1509988,1600587,1695190,1796902,1880392,1995808,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,115416,115416,5.783%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,37957960.0,37957960.0,536.0,37957960.0
45,5,B5,6,663515,271128420,280818199,13.75%,1315509,1394439,1506677,1597077,1691473,1792961,1876269,1991284,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,115015,115015,5.776%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,37280220.0,37280220.0,536.0,37280220.0
46,5,B5,7,663515,271128420,280818199,13.5%,1312617,1391374,1503365,1593567,1687755,1789021,1872145,1986760,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,114615,114615,5.769%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,36602280.0,36602280.0,536.0,36602280.0
47,5,B5,8,663515,271128420,280818199,13.25%,1309726,1388310,1500054,1590057,1684038,1785080,1868021,1982236,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,114214,114214,5.762%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,35924520.0,35924520.0,536.0,35924520.0
48,5,B5,9,663515,271128420,280818199,13.0%,1306835,1385245,1496743,1586547,1680320,1781139,1863898,1977712,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,113814,113814,5.755%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,35246730.0,35246730.0,536.0,35246730.0
49,5,B5,10,663515,271128420,280818199,12.75%,1303944,1382180,1493431,1583037,1676603,1777199,1859774,1973188,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,113414,113414,5.748%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,34568890.0,34568890.0,536.0,34568890.0
50,6,B6,1,463951,231215620,240905399,15.0%,1100466,1166494,1293735,1371359,1480562,1569395,1667388,1767432,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,100043,100043,5.66%,50.0,134,50.0,84.0,80.0,215,80.0,135.0,50.0,134,50.0,84.0,20.0,53,20.0,33.0,34682340.0,40946490.0,200.0,40946490.0
51,6,B6,2,463951,231215620,240905399,14.75%,1098074,1163958,1290923,1368378,1477343,1565984,1663764,1763590,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,99826,99826,5.66%,50.0,134,100.0,34.0,80.0,215,160.0,55.0,50.0,134,100.0,34.0,20.0,53,40.0,13.0,34104350.0,40333690.0,400.0,40333690.0
52,6,B6,3,463951,231215620,240905399,14.5%,1095681,1161422,1288110,1365397,1474125,1562572,1660139,1759747,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,99608,99608,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,33526260.0,37738916.0,536.0,37738916.0
53,6,B6,4,463951,231215620,240905399,14.25%,1093289,1158886,1285298,1362416,1470906,1559160,1656514,1755905,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,99391,99391,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,32948250.0,32948250.0,536.0,32948250.0
54,6,B6,5,463951,231215620,240905399,14.0%,1090897,1156351,1282485,1359434,1467687,1555749,1652889,1752063,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,99173,99173,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,32370160.0,32370160.0,536.0,32370160.0
55,6,B6,6,463951,231215620,240905399,13.75%,1088504,1153815,1279673,1356453,1464469,1552337,1649265,1748221,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,98956,98956,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,31792170.0,31792170.0,536.0,31792170.0
56,6,B6,7,463951,231215620,240905399,13.5%,1086112,1151279,1276860,1353472,1461250,1548925,1645640,1744378,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,98738,98738,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,31214080.0,31214080.0,536.0,31214080.0
57,6,B6,8,463951,231215620,240905399,13.25%,1083720,1148743,1274048,1350491,1458031,1545513,1642015,1740536,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,98521,98521,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,30636070.0,30636070.0,536.0,30636070.0
58,6,B6,9,463951,231215620,240905399,13.0%,1081328,1146207,1271235,1347509,1454813,1542102,1638390,1736694,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,98303,98303,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,30058030.0,30058030.0,536.0,30058030.0
59,6,B6,10,463951,231215620,240905399,12.75%,1078935,1143671,1268423,1344528,1451594,1538690,1634766,1732852,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,98086,98086,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,29479990.0,29479990.0,536.0,29479990.0
60,7,B7,1,246097,187644820,197334599,15.0%,849934,900930,1043203,1105795,1230030,1303831,1416856,1501868,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,85011,85011,5.66%,50.0,134,50.0,84.0,80.0,215,80.0,135.0,50.0,134,50.0,84.0,20.0,53,20.0,33.0,28146740.0,31404490.0,200.0,31404490.0
61,7,B7,2,246097,187644820,197334599,14.75%,848086,898971,1040935,1103391,1227356,1300997,1413776,1498603,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,84827,84827,5.66%,50.0,134,100.0,34.0,80.0,215,160.0,55.0,50.0,134,100.0,34.0,20.0,53,40.0,13.0,27677600.0,30907170.0,400.0,30907170.0
62,7,B7,3,246097,187644820,197334599,14.5%,846239,897013,1038667,1100987,1224682,1298163,1410696,1495338,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,84642,84642,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,27208510.0,29385743.0,536.0,29385743.0
63,7,B7,4,246097,187644820,197334599,14.25%,844391,895054,1036399,1098583,1222008,1295328,1407616,1492073,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,84457,84457,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,26739370.0,26739370.0,536.0,26739370.0
64,7,B7,5,246097,187644820,197334599,14.0%,842543,893096,1034132,1096180,1219334,1292494,1404536,1488808,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,84272,84272,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,26270310.0,26270310.0,536.0,26270310.0
65,7,B7,6,246097,187644820,197334599,13.75%,840696,891137,1031864,1093776,1216660,1289659,1401456,1485543,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,84087,84087,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,25801220.0,25801220.0,536.0,25801220.0
66,7,B7,7,246097,187644820,197334599,13.5%,838848,889179,1029596,1091372,1213986,1286825,1398376,1482278,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,83903,83903,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,25332080.0,25332080.0,536.0,25332080.0
67,7,B7,8,246097,187644820,197334599,13.25%,837000,887220,1027328,1088968,1211312,1283991,1395295,1479013,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,83718,83718,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,24862920.0,24862920.0,536.0,24862920.0
68,7,B7,9,246097,187644820,197334599,13.0%,835152,885262,1025060,1086564,1208638,1281156,1392215,1475748,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,83533,83533,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,24393780.0,24393780.0,536.0,24393780.0
69,7,B7,10,246097,187644820,197334599,12.75%,833305,883303,1022792,1084160,1205964,1278322,1389135,1472483,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,83348,83348,5.66%,50.0,134,134.0,0.0,80.0,215,215.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,23924690.0,23924690.0,536.0,23924690.0
70,8,B1,1,2769804,692386220,702075999,15.0%,3816353,4119751,4016387,4339208,4209753,4551349,4403118,4763491,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,360372,355372,7.46%,50.0,40,40.0,0.0,80.0,64,64.0,0.0,50.0,40,40.0,0.0,20.0,16,16.0,0.0,103857940.0,146566268.0,160.0,146566268.0
71,8,B1,2,2769804,692386220,702075999,14.75%,3807911,4110489,4007510,4329468,4200455,4541149,4393400,4752829,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,359429,354429,7.457%,50.0,40,40.0,0.0,80.0,64,64.0,0.0,50.0,40,40.0,0.0,20.0,16,16.0,0.0,102126950.0,102126950.0,160.0,102126950.0
72,8,B1,3,2769804,692386220,702075999,14.5%,3799469,4101227,3998632,4319729,4191157,4530948,4383682,4742167,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,358485,353485,7.454%,50.0,40,40.0,0.0,80.0,64,64.0,0.0,50.0,40,40.0,0.0,20.0,16,16.0,0.0,100396010.0,100396010.0,160.0,100396010.0
73,8,B1,4,2769804,692386220,702075999,14.25%,3791026,4091964,3989755,4309990,4181860,4520748,4373964,4731506,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,357541,352541,7.451%,50.0,40,40.0,0.0,80.0,64,64.0,0.0,50.0,40,40.0,0.0,20.0,16,16.0,0.0,98665050.0,98665050.0,160.0,98665050.0
74,8,B1,5,2769804,692386220,702075999,14.0%,3782584,4082702,3980878,4300250,4172562,4510547,4364246,4720844,Subsidy,10000000,5000000,5,5e-05,8.068%,61.932%,5000,356598,351598,7.448%,50.0,40,40.0,0.0,80.0,64,64.0,0.0,50.0,40,40.0,0.0,20.0,16,16.0,0.0,96934110.0,96934110.0,160.0,96934110.0
