,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP,Q1,Q2,P1,P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,S,Price Difference,Price Difference- After Subsidy,P2-Subsidized-Relative-Percent,U2-After-Subsidy,M2-After-Subsidy,Quota_M2- Subsidy,Merge_M2- Subsidy,Residual_M2- Subsidy,M1 Subsidy,H1,H2,Constructor Profit
22,3,B3,3,1183094,375044220,384733999,14.0%,2472712,2551391,2492087,2573520,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81433,81433,3.164%,26.926%,139,139,200,0,0,52506160.0,62665800,62665800
23,3,B3,4,1183094,375044220,384733999,13.5%,2461867,2540201,2480862,2561938,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81076,81076,3.165%,26.926%,0,0,0,0,200,50630960.0,58564200,58564200
24,3,B3,5,1183094,375044220,384733999,13.0%,2451022,2529011,2469637,2550356,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80718,80718,3.165%,26.926%,0,0,0,0,200,48755730.0,56395200,56395200
25,3,B3,6,1183094,375044220,384733999,12.5%,2440177,2517820,2458413,2538774,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80361,80361,3.165%,26.926%,0,0,0,0,200,46880550.0,54226200,54226200
26,3,B3,7,1183094,375044220,384733999,12.0%,2429332,2506630,2447188,2527192,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80004,80004,3.166%,26.926%,0,0,0,0,200,45005350.0,52057200,52057200
27,3,B3,8,1183094,375044220,384733999,11.5%,2418486,2495440,2435963,2515610,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79647,79647,3.166%,26.926%,0,0,0,0,200,43130100.0,49888000,49888000
28,3,B3,9,1183094,375044220,384733999,11.0%,2407641,2484250,2424738,2504028,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79290,79290,3.166%,26.926%,0,0,0,0,200,41254870.0,47719000,47719000
29,3,B3,10,1183094,375044220,384733999,10.5%,2396796,2473059,2413513,2492446,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78933,78933,3.167%,26.926%,0,0,0,0,200,39379670.0,45550000,45550000
30,4,B4,1,930283,324482020,334171799,15.0%,2203670,2283039,2213628,2295775,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,82147,82147,3.578%,26.926%,539,200,200,339,0,48672340.0,59557600,59557600
31,4,B4,2,930283,324482020,334171799,14.5%,2194089,2273113,2203712,2285502,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81790,81790,3.579%,26.926%,339,200,200,139,0,47049910.0,57572200,57572200
32,4,B4,3,930283,324482020,334171799,14.0%,2184508,2263187,2193795,2275228,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81433,81433,3.579%,26.926%,139,139,200,0,0,45427510.0,55587000,55587000
33,4,B4,4,930283,324482020,334171799,13.5%,2174927,2253261,2183879,2264954,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81076,81076,3.58%,26.926%,0,0,0,0,200,43805080.0,51738400,51738400
34,4,B4,5,930283,324482020,334171799,13.0%,2165346,2243334,2173962,2254681,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80718,80718,3.58%,26.926%,0,0,0,0,200,42182650.0,49822200,49822200
35,4,B4,6,930283,324482020,334171799,12.5%,2155764,2233408,2164046,2244407,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80361,80361,3.581%,26.926%,0,0,0,0,200,40560230.0,47905800,47905800
36,4,B4,7,930283,324482020,334171799,12.0%,2146183,2223482,2154129,2234133,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80004,80004,3.581%,26.926%,0,0,0,0,200,38937800.0,45989600,45989600
37,4,B4,8,930283,324482020,334171799,11.5%,2136602,2213556,2144213,2223860,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79647,79647,3.581%,26.926%,0,0,0,0,200,37315450.0,44073400,44073400
